8072,"Trapped",1948,TV-PG,"Crime|Drama","Richard Fleischer","Lloyd Bridges|Barbara Payton|John Hoyt",78,"With fake $20 bills flooding the system, U.S. Treasury agents seek help from a jailed master counterfeiter. Will he cooperate or take it on the lam?",jsonld
8073,"Violent Naples",1975,TV-MA,"Action|Crime|Thriller","Umberto Lenzi","Maurizio Merli|John Saxon|Barry Sullivan",90,"In director Umberto Lenzi's top-notch crime thriller, a hard-nosed police detective (Maurizio Merli) takes on the Mafia as two syndicates wage a blood",jsonld
8075,"What Becomes of the Children",1935,TV-PG,"Drama|Crime|Kids & Family","Walter Shumway","Joan Marsh|Robert Frazer|Natalie Moorhead",56,"Get ready for a roller-coaster trip of emotion with this campy collection from the golden age of Hollywood! Originally intended to warn America's yout",jsonld
8076,"White Zombie",1931,TV-PG,"Horror","Victor Halperin","Bela Lugosi|Madge Bellamy|Joseph Cawthorn",66,"When a wealthy plantation owner becomes obsessed with a beautiful but unattainable woman, he strikes a devil's bargain with a sinister voodoo master!",jsonld
9466,"American Fetish",2008,R,"Mystery|Crime|Drama|Thriller","Michael Simmons","Olivia Bellafontaine|Matt Jones",88,"A man receives a pornographic film that could hold the key to solving a decades-old double murder and clearing his father's name.",jsonld
9470,"Arizona Seaside",2006,PG-13,"Comedy","Jens Pil Pilegaard","Roy Werner|Kim Delgado|Sanjay",92,"A Kazakhstan girl crosses paths with a sweet conman moonlighting as a Robin Hood for stray animals. Both on the run from gangsters they end up at Ariz",jsonld
9471,"Beauty Beneath The Dirt",2011,PG-13,"Documentary|Adventure|Reality","Katherine Imp","Emily Ginger|Brandon Imp|Katherine Imp",68,"Beauty Beneath the Dirt follows the story of three young urbanites as they hike the Appalachian Trail.",jsonld
9473,"Black 47 at Connolly's",2007,TV-PG,"Documentary|Music","Victor Zimet|Stephanie Silber","Chris Byrne|Larry Kirwan|Geoffrey Blythe",62,"Hungry musicians aspire to obtain more equipment, sell their hot tracks, and, of course, make a name for themselves in the competitive music industry.",jsonld
9475,"His Name Is Bob",2009,PG,"Documentary|Drama","Lisa Johnson|Sebastian Lee","Bob Crawford",105,"Bob, a 54-year-old man has been betrayed, abandoned, beaten and abused who has spent his life defying the odds. Through all of this darkness, Bob's li",jsonld
9478,"Caveat",2010,R,"Thriller|Drama","Julie Ufema|Isaac Williams","Lindsay Goranson|Heather O'Neill|Kacie Marie",76,"After hearing of their fathers mysterious death, the five privileged Mosier sisters are forced to return home to claim their share of the family inher",jsonld
9479,"Chain Link",2007,PG-13,"Drama|Independent","Dylan Reynolds","Yassmin Alers|Lelia Goldoni|Mark Irvingsen",99,"A story about a man recently released from prison who is trying to re-connect with his estranged son and girlfriend.",jsonld
9480,"Changing A Mind",2007,PG,"Documentary","Sondra Martin-Hicks","Dr. Teresa Cody|Dr. Craig Garner",82,"Down Syndrome, reversing the damage and substantially increasing IQ and quality of life.",jsonld
9481,"Char-ac-ter",2008,TV-MA,"Documentary","Drago Sumonja","Sydney Pollack|Harry Dean Stanton|Peter Falk",85,"Longtime colleagues and friends including Harry Dean Stanton, Sydney Pollack, and Peter Falk share a candid dialogue about the craft of acting.",jsonld
9483,"Chasing the White Dragon",2007,R,"Drama","Kat Phillips","RyanKennedy|Kree Harrison|Preston Vanderslice",95,"Six small-town folks are trapped inside the nightmare of crystal meth addiction and must make the decision to escape it before their world implodes.",jsonld
9485,"Children Of The Trains",2010,PG,"Documentary|Drama","Barbara Grandvoinet","",43,"Children of the trains is a story of transformation where junk-yard train cars become locations of learning and abandoned street children become hopef",jsonld
9490,"Dreams On Spec",2006,TV-PG,"Documentary","Daniel Snyder","Carrie Fisher|Nora Ephron|James L. Brooks",88,"Follow three screenwriters as they struggle against overwhelming odds—and often their families' disapproval—to turn their scripts into movies.",jsonld
9495,"The Fourth World",2011,PG-13,"Documentary|Adventure","Mark Volkers","Mark Volkers",54,"One out of every six human beings lives in a very hidden world--the world of slums. Filmed on five continents,",jsonld
9496,"Fury",2008,R,"Horror","Liz Lehmann","Kira Wallace|Christopher Thomas Barrett|Thary Kok",82,"A wannabe teenage band plan their first concert in an abandoned building but the body count begins to rise by the angry ghost who haunts the building.",jsonld
9497,"God, Sex & Apple Pie",1997,R,"Comedy|Drama|Romance","Paul Leaf","Greg Wrangler|Penelope Crabtree|Mark Porro",96,"Nine friends reunite for a weekend escape from their hectic lives, but they can't completely outrun the controversy and angst that follows them.",jsonld
9498,"Gone With The Wieners",2008,PG-13,"Comedy","Marc Leland","James C. Burns|Tina Krause|Carl Burrows",87,"The Wiener Brothers set up a social dancing school in a rustic, western town.",jsonld
